FruMARCM-M002253_seg002,fru-M-100207
FruMARCM-M002254_seg001,fru-M-100208
FruMARCM-M002255_seg001,fru-M-800088
FruMARCM-M002255_seg002,fru-M-800089
FruMARCM-M002256_seg001,fru-M-800090
FruMARCM-M002257_seg001,fru-M-600095
FruMARCM-M002258_seg001,fru-M-400202
FruMARCM-M002259_seg001,fru-M-400203
FruMARCM-M002260_seg001,fru-M-400204
FruMARCM-M002260_seg002,fru-M-400205
FruMARCM-M002261_seg001,fru-M-200265
FruMARCM-M002263_seg001,fru-M-200268
FruMARCM-M002268_seg001,fru-M-400206
FruMARCM-M002269_seg001,fru-M-600096
FruMARCM-M002270_seg001,fru-M-600097
FruMARCM-M002271_seg001,fru-M-800091
FruMARCM-M002272_seg001,fru-M-700145
FruMARCM-M002273_seg001,fru-M-700146
FruMARCM-M002275_seg001,fru-M-700147
FruMARCM-M002276_seg001,fru-M-700148
FruMARCM-M002277_seg001,fru-M-700149
FruMARCM-M002279_seg001,fru-M-700151
FruMARCM-M002280_seg001,fru-M-700152
FruMARCM-M002280_seg002,fru-M-700153
FruMARCM-M002281_seg001,fru-M-800092
FruMARCM-M002282_seg001,fru-M-800093
FruMARCM-M002283_seg001,fru-M-800094
FruMARCM-M002284_seg001,fru-M-600098
FruMARCM-M002285_seg001,fru-M-600099
FruMARCM-M002286_seg001,fru-M-600100
FruMARCM-M002288_seg001,fru-M-600102
FruMARCM-M002288_seg002,fru-M-600103
FruMARCM-M002289_seg001,fru-M-200269
FruMARCM-M002290_seg001,fru-M-200270
FruMARCM-M002291_seg001,fru-M-200271
FruMARCM-M002292_seg001,fru-M-200272
FruMARCM-M002293_seg001,fru-M-200273
FruMARCM-M002294_seg001,fru-M-700154
FruMARCM-M002295_seg001,fru-M-000172
FruMARCM-M002296_seg001,fru-M-200274
FruMARCM-M002297_seg001,fru-M-200275
FruMARCM-M002297_seg002,fru-M-200276
FruMARCM-M002298_seg001,fru-M-100209
FruMARCM-M002299_seg001,fru-M-400207
FruMARCM-M002302_seg001,fru-M-800095
FruMARCM-M002302_seg002,fru-M-800096
FruMARCM-M002303_seg001,fru-M-800097
FruMARCM-M002304_seg001,fru-M-900051
FruMARCM-M002305_seg001,fru-M-900052
FruMARCM-M002305_seg002,fru-M-900053
FruMARCM-M002306_seg001,fru-M-900054
FruMARCM-M002307_seg001,fru-M-900055
FruMARCM-M002308_seg001,fru-M-900056
FruMARCM-M002309_seg001,fru-M-900057
FruMARCM-M002309_seg002,fru-M-900058
FruMARCM-M002311_seg001,fru-M-200277
FruMARCM-M002312_seg001,fru-M-300253
FruMARCM-M002313_seg001,fru-M-200278
FruMARCM-M002314_seg001,fru-M-200279
FruMARCM-M002314_seg002,fru-M-200280
FruMARCM-M002315_seg001,fru-M-200281
FruMARCM-M002315_seg002,fru-M-200282
FruMARCM-M002316_seg001,fru-M-300254
FruMARCM-M002316_seg002,fru-M-300255
FruMARCM-M002317_seg001,fru-M-300256
FruMARCM-M002318_seg001,fru-M-300257
FruMARCM-M002319_seg001,fru-M-300258
FruMARCM-M002320_seg001,fru-M-600104
